Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
Bachelor,0-1 years,"Market Research, Operations, HR Management","Team Management, Excel, Accounting",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"HR Management, Market Research, Excel, Accounting, Operations, Team Management",Excel
PhD,1-3 years,"Accounting, Sales Strategy","Accounting, Excel, Salesforce, Customer Support",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Sales Strategy, Salesforce, Excel, Accounting","Salesforce, Excel"
PhD,1-3 years,"Market Research, Operations","Customer Support, Excel, Communication",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Market Research, Excel, Communication, Operations",Excel
Master,5+ years,"HR Management, Operations, Accounting","Excel, Accounting, Customer Support, Salesforce, Team Management","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Salesforce, Excel, Accounting, Operations, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"Market Research, Accounting, HR Management","Team Management, Accounting, Customer Support, Communication, Excel",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, HR Management, Market Research, Accounting, Excel, Communication, Team Management",Excel
Master,5+ years,Operations,"Customer Support, Salesforce, Team Management, Accounting, Communication",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
Bachelor,1-3 years,"Operations, Market Research","Salesforce, Communication, Customer Support, Accounting","Salesforce Certified, Customer Service Expert",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Market Research, Salesforce, Accounting, Communication, Operations",Salesforce
PhD,1-3 years,Market Research,"Customer Support, Excel, Team Management",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Customer Support, Excel, Team Management, Market Research",Excel
Master,1-3 years,"Customer Service, Operations","Team Management, Excel, Customer Support, Accounting, Communication","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Excel, Accounting, Communication, Operations, Team Management",Excel
PhD,5+ years,Sales Strategy,"Excel, Communication, Accounting, Salesforce","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Sales Strategy, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
PhD,0-1 years,"Operations, Sales Strategy, Market Research","Communication, Excel, Accounting, Team Management, Customer Support",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Sales Strategy, Market Research, Excel, Accounting, Communication, Operations, Team Management",Excel
PhD,5+ years,Customer Service,"Salesforce, Team Management, Customer Support, Communication",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, Salesforce, Communication, Team Management",Salesforce
Bachelor,5+ years,HR Management,"Salesforce, Team Management, Excel, Accounting","Salesforce Certified, Excel Advanced",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Bachelor,5+ years,"Customer Service, Market Research","Team Management, Accounting, Communication, Excel, Customer Support","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Market Research, Accounting, Excel, Communication, Team Management",Excel
Master,5+ years,"Operations, Customer Service","Salesforce, Customer Support, Team Management","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Salesforce, Operations, Team Management",Salesforce
Master,1-3 years,"Accounting, Sales Strategy","Salesforce, Team Management, Accounting","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Sales Strategy, Salesforce, Accounting, Team Management",Salesforce
Bachelor,3-5 years,"Sales Strategy, HR Management","Team Management, Excel, Accounting, Salesforce, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Sales Strategy, HR Management, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Bachelor,1-3 years,Accounting,"Accounting, Excel, Communication, Salesforce, Customer Support",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Master,3-5 years,"Operations, Market Research, HR Management","Excel, Salesforce, Customer Support","Salesforce Certified, Excel Advanced",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Market Research, Salesforce, Excel, Operations","Salesforce, Excel"
Bachelor,5+ years,"Accounting, Operations, Customer Service","Excel, Team Management, Communication, Salesforce, Accounting","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Service, Salesforce, Excel, Accounting, Communication, Operations, Team Management","Salesforce, Excel"
PhD,0-1 years,HR Management,"Communication, Excel, Customer Support, Team Management","Customer Service Expert, Excel Advanced",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Excel, Communication, Team Management",Excel
Master,1-3 years,"Accounting, HR Management","Team Management, Accounting, Customer Support, Salesforce, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, HR Management, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
PhD,3-5 years,"Accounting, Operations, Market Research","Accounting, Excel, Communication, Customer Support","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Market Research, Excel, Accounting, Communication, Operations",Excel
PhD,1-3 years,"Sales Strategy, Market Research","Communication, Excel, Salesforce, Accounting",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Sales Strategy, Market Research, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Bachelor,0-1 years,"Sales Strategy, Operations","Accounting, Customer Support, Team Management, Excel, Salesforce","Excel Advanced, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Salesforce, Accounting, Excel, Operations, Team Management","Salesforce, Excel"
PhD,0-1 years,"Customer Service, Accounting","Accounting, Team Management, Communication, Excel, Salesforce","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Service, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"Sales Strategy, Customer Service, Accounting","Salesforce, Communication, Team Management",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Sales Strategy, Customer Service, Salesforce, Accounting, Communication, Team Management",Salesforce
Master,3-5 years,"Market Research, HR Management, Customer Service","Accounting, Excel, Customer Support, Salesforce, Team Management",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Customer Service, HR Management, Market Research, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Master,1-3 years,"Accounting, Customer Service","Accounting, Excel, Customer Support, Communication, Team Management","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Excel, Accounting, Communication, Team Management",Excel
PhD,3-5 years,Customer Service,"Salesforce, Team Management, Accounting, Customer Support, Communication",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, Salesforce, Accounting, Communication, Team Management",Salesforce
Master,5+ years,Market Research,"Customer Support, Communication, Salesforce",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Customer Support, Salesforce, Market Research, Communication",Salesforce
PhD,1-3 years,"Accounting, HR Management, Customer Service","Customer Support, Excel, Team Management","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, HR Management, Excel, Accounting, Team Management",Excel
Bachelor,0-1 years,Sales Strategy,"Customer Support, Salesforce, Excel","Salesforce Certified, Excel Advanced",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Salesforce, Sales Strategy, Excel","Salesforce, Excel"
Bachelor,5+ years,"Customer Service, Market Research","Communication, Excel, Salesforce",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Service, Market Research, Salesforce, Excel, Communication","Salesforce, Excel"
Bachelor,5+ years,"Operations, Sales Strategy","Excel, Team Management, Communication, Customer Support, Accounting","Salesforce Certified, Customer Service Expert",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Excel, Accounting, Communication, Operations, Team Management",Excel
Bachelor,0-1 years,Operations,"Accounting, Customer Support, Team Management, Salesforce, Excel","Customer Service Expert, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Salesforce, Accounting, Excel, Operations, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"HR Management, Sales Strategy","Accounting, Excel, Communication, Team Management, Customer Support",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, Sales Strategy, HR Management, Excel, Accounting, Communication, Team Management",Excel
Master,0-1 years,"Sales Strategy, Operations","Team Management, Communication, Excel, Salesforce",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Sales Strategy, Salesforce, Excel, Communication, Operations, Team Management","Salesforce, Excel"
PhD,0-1 years,"HR Management, Accounting","Excel, Communication, Accounting","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Excel, Accounting, HR Management, Communication",Excel
Bachelor,1-3 years,Operations,"Communication, Customer Support, Team Management, Salesforce, Accounting",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
Bachelor,0-1 years,"HR Management, Customer Service","Team Management, Excel, Communication","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Service, HR Management, Excel, Communication, Team Management",Excel
PhD,5+ years,Customer Service,"Accounting, Salesforce, Excel",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Salesforce, Customer Service, Excel, Accounting","Salesforce, Excel"
Bachelor,3-5 years,"Accounting, Operations","Accounting, Communication, Excel",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Operations, Excel, Accounting, Communication",Excel
Bachelor,3-5 years,"Market Research, Operations, HR Management","Communication, Customer Support, Team Management",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, HR Management, Market Research, Communication, Operations, Team Management",
Bachelor,5+ years,"Market Research, Accounting, HR Management","Accounting, Salesforce, Team Management","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","HR Management, Market Research, Salesforce, Accounting, Team Management",Salesforce
Master,5+ years,"Customer Service, Sales Strategy","Team Management, Communication, Accounting",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Sales Strategy, Customer Service, Accounting, Communication, Team Management",
Master,0-1 years,Operations,"Excel, Communication, Team Management, Customer Support","Customer Service Expert, Excel Advanced",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Excel, Communication, Operations, Team Management",Excel
PhD,3-5 years,"HR Management, Market Research","Accounting, Communication, Customer Support, Excel",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Market Research, HR Management, Accounting, Excel, Communication",Excel
PhD,5+ years,"Operations, Accounting","Customer Support, Excel, Salesforce",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Salesforce, Excel, Accounting, Operations","Salesforce, Excel"
Bachelor,1-3 years,"Sales Strategy, HR Management","Excel, Customer Support, Communication, Team Management, Salesforce","Customer Service Expert, Salesforce Certified",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Master,1-3 years,"HR Management, Market Research, Customer Service","Accounting, Excel, Customer Support, Team Management, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Market Research, HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
PhD,1-3 years,Operations,"Excel, Customer Support, Communication, Salesforce, Accounting","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,3-5 years,Operations,"Customer Support, Excel, Communication",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Operations, Excel, Customer Support, Communication",Excel
PhD,0-1 years,Operations,"Accounting, Excel, Salesforce, Team Management","Salesforce Certified, Excel Advanced",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Salesforce, Excel, Accounting, Operations, Team Management","Salesforce, Excel"
Bachelor,5+ years,Operations,"Customer Support, Accounting, Excel",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Operations, Excel, Accounting, Customer Support",Excel
Bachelor,1-3 years,"Operations, HR Management, Sales Strategy","Accounting, Customer Support, Communication, Salesforce","Excel Advanced, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, HR Management, Salesforce, Accounting, Communication, Operations",Salesforce
Bachelor,1-3 years,"Sales Strategy, Market Research","Salesforce, Customer Support, Team Management, Excel, Communication","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Market Research, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,0-1 years,"Accounting, Customer Service","Team Management, Customer Support, Excel",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Customer Service, Accounting, Excel, Team Management",Excel
PhD,0-1 years,"Market Research, Sales Strategy, Customer Service","Customer Support, Excel, Team Management, Salesforce, Communication",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Sales Strategy, Customer Service, Market Research, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"HR Management, Sales Strategy, Market Research","Salesforce, Excel, Accounting",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Sales Strategy, Market Research, HR Management, Salesforce, Excel, Accounting","Salesforce, Excel"
Master,3-5 years,"Operations, Customer Service, Market Research","Excel, Salesforce, Accounting, Team Management, Customer Support",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Market Research, Salesforce, Excel, Accounting, Operations, Team Management","Salesforce, Excel"
Bachelor,5+ years,"HR Management, Sales Strategy, Accounting","Team Management, Excel, Communication, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, HR Management, Excel, Accounting, Communication, Team Management",Excel
Master,1-3 years,Accounting,"Communication, Salesforce, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
Master,3-5 years,"Operations, Sales Strategy, Customer Service","Excel, Team Management, Customer Support, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Customer Service, Excel, Accounting, Operations, Team Management",Excel
PhD,1-3 years,Market Research,"Salesforce, Customer Support, Communication, Excel, Team Management","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Market Research, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Master,1-3 years,"Sales Strategy, Operations","Communication, Excel, Accounting, Team Management, Salesforce",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Sales Strategy, Salesforce, Excel, Accounting, Communication, Operations, Team Management","Salesforce, Excel"
Bachelor,0-1 years,"Accounting, Customer Service","Accounting, Customer Support, Team Management, Excel",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Customer Service, Accounting, Excel, Team Management",Excel
Bachelor,5+ years,HR Management,"Accounting, Salesforce, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Salesforce, Accounting, Excel, HR Management","Salesforce, Excel"
Master,3-5 years,Operations,"Salesforce, Communication, Accounting",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Operations, Salesforce, Accounting, Communication",Salesforce
PhD,3-5 years,"Operations, Customer Service, Accounting","Team Management, Customer Support, Excel, Salesforce",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Customer Service, Salesforce, Accounting, Excel, Operations, Team Management","Salesforce, Excel"
Bachelor,0-1 years,"Sales Strategy, Accounting, Market Research","Team Management, Accounting, Communication, Salesforce, Excel",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Sales Strategy, Market Research, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
PhD,1-3 years,"HR Management, Customer Service","Customer Support, Accounting, Salesforce",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, HR Management, Salesforce, Accounting",Salesforce
Bachelor,0-1 years,"Sales Strategy, Operations","Communication, Excel, Salesforce, Team Management","Customer Service Expert, Excel Advanced",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Sales Strategy, Salesforce, Excel, Communication, Operations, Team Management","Salesforce, Excel"
Master,1-3 years,Sales Strategy,"Excel, Accounting, Customer Support","Salesforce Certified, Excel Advanced",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Excel, Sales Strategy, Accounting",Excel
PhD,0-1 years,"Market Research, HR Management, Operations","Customer Support, Communication, Team Management, Excel",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, HR Management, Market Research, Excel, Communication, Operations, Team Management",Excel
Master,5+ years,"Sales Strategy, Market Research, Operations","Excel, Communication, Salesforce",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Sales Strategy, Market Research, Salesforce, Excel, Communication, Operations","Salesforce, Excel"
PhD,0-1 years,"Accounting, HR Management, Sales Strategy","Team Management, Customer Support, Accounting, Excel, Salesforce",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Sales Strategy, HR Management, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
PhD,5+ years,"Market Research, HR Management","Accounting, Salesforce, Excel, Team Management",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"HR Management, Market Research, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Bachelor,3-5 years,Operations,"Salesforce, Excel, Accounting, Customer Support, Communication",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,1-3 years,"Operations, Market Research","Customer Support, Accounting, Salesforce, Team Management","Salesforce Certified, Customer Service Expert",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Market Research, Salesforce, Accounting, Operations, Team Management",Salesforce
Master,3-5 years,"Accounting, Sales Strategy","Excel, Salesforce, Communication, Team Management, Customer Support","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Master,5+ years,Operations,"Accounting, Excel, Team Management",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Operations, Excel, Accounting, Team Management",Excel
Master,1-3 years,"Operations, Customer Service, Sales Strategy","Salesforce, Customer Support, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Sales Strategy, Salesforce, Accounting, Operations",Salesforce
Bachelor,0-1 years,"Operations, HR Management","Excel, Salesforce, Customer Support, Communication",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, HR Management, Salesforce, Excel, Communication, Operations","Salesforce, Excel"
PhD,1-3 years,"HR Management, Operations","Customer Support, Team Management, Excel, Communication, Salesforce",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, HR Management, Salesforce, Excel, Communication, Operations, Team Management","Salesforce, Excel"
Bachelor,5+ years,"HR Management, Sales Strategy, Operations","Communication, Accounting, Team Management",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Sales Strategy, HR Management, Accounting, Communication, Operations, Team Management",
Bachelor,1-3 years,HR Management,"Salesforce, Communication, Accounting, Team Management, Customer Support","Customer Service Expert, Salesforce Certified",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Customer Support, HR Management, Salesforce, Accounting, Communication, Team Management",Salesforce
PhD,0-1 years,Accounting,"Communication, Excel, Salesforce, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
PhD,3-5 years,Market Research,"Accounting, Excel, Team Management",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Excel, Accounting, Team Management, Market Research",Excel
Master,5+ years,HR Management,"Team Management, Salesforce, Customer Support, Communication, Excel","Salesforce Certified, Excel Advanced",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,5+ years,"Market Research, Customer Service, HR Management","Salesforce, Accounting, Excel, Communication, Team Management",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Service, HR Management, Market Research, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,5+ years,"Operations, Customer Service","Communication, Salesforce, Customer Support, Accounting",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, Salesforce, Accounting, Communication, Operations",Salesforce
Bachelor,1-3 years,Customer Service,"Team Management, Excel, Customer Support, Communication, Salesforce",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
PhD,1-3 years,"HR Management, Sales Strategy","Excel, Communication, Salesforce, Team Management, Customer Support",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Master,1-3 years,"Accounting, Customer Service","Excel, Communication, Customer Support",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Customer Service, Excel, Accounting, Communication",Excel
Master,1-3 years,"Accounting, Customer Service, Market Research","Salesforce, Excel, Customer Support, Accounting",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Customer Service, Market Research, Salesforce, Accounting, Excel","Salesforce, Excel"
PhD,5+ years,"Customer Service, Accounting, Operations","Salesforce, Communication, Team Management",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Service, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
PhD,0-1 years,"Customer Service, Sales Strategy","Customer Support, Communication, Team Management, Excel, Accounting",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Sales Strategy, Customer Service, Excel, Accounting, Communication, Team Management",Excel
Master,1-3 years,"Customer Service, Accounting, Market Research","Team Management, Accounting, Communication, Excel",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Service, Market Research, Accounting, Excel, Communication, Team Management",Excel
Master,0-1 years,"HR Management, Sales Strategy, Customer Service","Accounting, Communication, Excel, Salesforce, Customer Support",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Sales Strategy, Customer Service, HR Management, Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
Master,0-1 years,"Operations, HR Management, Market Research","Customer Support, Communication, Accounting, Team Management, Excel","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Market Research, HR Management, Accounting, Excel, Communication, Operations, Team Management",Excel
PhD,1-3 years,Market Research,"Team Management, Salesforce, Customer Support, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Market Research Analyst,"Salesforce Training, Customer Service Training","Customer Support, Market Research, Salesforce, Excel, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"Operations, Sales Strategy","Salesforce, Customer Support, Team Management, Excel, Accounting","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Salesforce, Excel, Accounting, Operations, Team Management","Salesforce, Excel"
Master,3-5 years,"Accounting, Market Research","Communication, Accounting, Excel, Team Management, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Market Research, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Master,3-5 years,"Sales Strategy, Accounting, Operations","Accounting, Salesforce, Customer Support, Communication, Excel",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Sales Strategy, Salesforce, Accounting, Excel, Communication, Operations","Salesforce, Excel"
PhD,5+ years,"Sales Strategy, Accounting","Salesforce, Accounting, Customer Support",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Salesforce, Sales Strategy, Accounting",Salesforce
PhD,5+ years,Accounting,"Salesforce, Team Management, Excel, Customer Support, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"Market Research, HR Management, Sales Strategy","Salesforce, Customer Support, Communication, Accounting, Excel",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Sales Strategy, HR Management, Market Research, Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
Bachelor,3-5 years,"HR Management, Operations","Team Management, Salesforce, Excel",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"HR Management, Salesforce, Excel, Operations, Team Management","Salesforce, Excel"
PhD,1-3 years,"Market Research, Sales Strategy","Accounting, Team Management, Excel, Salesforce","Customer Service Expert, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Customer Service Training","Sales Strategy, Market Research, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Bachelor,0-1 years,"Operations, Accounting","Customer Support, Accounting, Excel, Communication","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Excel, Accounting, Communication, Operations",Excel
PhD,0-1 years,Market Research,"Communication, Team Management, Excel, Salesforce, Accounting","Salesforce Certified, Excel Advanced",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Market Research, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
PhD,0-1 years,"Market Research, Operations","Excel, Accounting, Communication, Team Management","Salesforce Certified, Excel Advanced",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Market Research, Excel, Accounting, Communication, Operations, Team Management",Excel
PhD,3-5 years,Operations,"Excel, Accounting, Salesforce",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Operations, Salesforce, Excel, Accounting","Salesforce, Excel"
PhD,3-5 years,Market Research,"Accounting, Customer Support, Excel, Salesforce, Team Management","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Market Research, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Bachelor,1-3 years,Accounting,"Excel, Team Management, Customer Support, Accounting, Salesforce","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
